Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  9.33      2.63     2.63                             av_velocity (d2q9-bgk.c:437 @ 401aac)
  8.30      4.98     2.34                             collision (d2q9-bgk.c:320 @ 40149e)
  2.73      5.75     0.77                             propagate (d2q9-bgk.c:245 @ 4011af)
  2.61      6.48     0.74                             collision (d2q9-bgk.c:357 @ 401501)
  2.61      7.22     0.74                             collision (d2q9-bgk.c:346 @ 401506)
  2.52      7.93     0.71                             collision (d2q9-bgk.c:387 @ 401584)
  2.20      8.55     0.62                             collision (d2q9-bgk.c:358 @ 401548)
  2.18      9.17     0.62                             collision (d2q9-bgk.c:356 @ 40155f)
  1.84      9.69     0.52                             collision (d2q9-bgk.c:386 @ 4015cd)
  1.84     10.21     0.52                             collision (d2q9-bgk.c:385 @ 401743)
  1.70     10.69     0.48                             collision (d2q9-bgk.c:387 @ 4015c0)
  1.65     11.15     0.47                             propagate (d2q9-bgk.c:254 @ 4011f4)
  1.58     11.60     0.45                             av_velocity (d2q9-bgk.c:417 @ 401a25)
  1.45     12.01     0.41                             collision (d2q9-bgk.c:354 @ 401528)
  1.40     12.41     0.40                             collision (d2q9-bgk.c:386 @ 40173e)
  1.37     12.79     0.39                             collision (d2q9-bgk.c:316 @ 4013fb)
  1.37     13.18     0.39                             collision (d2q9-bgk.c:386 @ 40160b)
  1.35     13.56     0.38                             collision (d2q9-bgk.c:386 @ 4016c7)
  1.17     13.89     0.33                             collision (d2q9-bgk.c:337 @ 4014b7)
  1.14     14.21     0.32                             collision (d2q9-bgk.c:387 @ 401693)
  1.14     14.53     0.32                             propagate (d2q9-bgk.c:252 @ 4011d2)
  1.10     14.84     0.31                             collision (d2q9-bgk.c:385 @ 401664)
  1.08     15.14     0.31                             collision (d2q9-bgk.c:387 @ 401575)
  1.08     15.45     0.31                             collision (d2q9-bgk.c:369 @ 40157a)
  1.06     15.75     0.30                             av_velocity (d2q9-bgk.c:433 @ 401a93)
  1.01     16.04     0.29                             collision (d2q9-bgk.c:387 @ 401735)
  0.96     16.31     0.27                             av_velocity (d2q9-bgk.c:432 @ 401aa4)
  0.94     16.57     0.27                             collision (d2q9-bgk.c:375 @ 4016cb)
