Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
 13.77      4.21     4.21                             rebound_collision (d2q9-bgk.c:457 @ 401828)
  5.27      5.83     1.61                             rebound_collision (d2q9-bgk.c:449 @ 401823)
  4.96      7.34     1.52                             rebound_collision (d2q9-bgk.c:436 @ 4015a2)
  4.58      8.75     1.40                             rebound_collision (d2q9-bgk.c:441 @ 40181e)
  2.52      9.52     0.77                             rebound_collision (d2q9-bgk.c:437 @ 4017b0)
  2.39     10.25     0.73                             rebound_collision (d2q9-bgk.c:326 @ 4013b6)
  2.09     10.89     0.64                             rebound_collision (d2q9-bgk.c:403 @ 401537)
  1.77     11.43     0.54                             rebound_collision (d2q9-bgk.c:435 @ 4015ac)
  1.59     11.91     0.49                             rebound_collision (d2q9-bgk.c:435 @ 4016ff)
  1.47     12.36     0.45                             rebound_collision (d2q9-bgk.c:445 @ 401767)
  1.41     12.79     0.43                             rebound_collision (d2q9-bgk.c:437 @ 4015bc)
  1.28     13.19     0.39                             rebound_collision (d2q9-bgk.c:400 @ 40158c)
  1.28     13.58     0.39                             rebound_collision (d2q9-bgk.c:437 @ 401620)
  1.24     13.96     0.38                             rebound_collision (d2q9-bgk.c:437 @ 401714)
  1.18     14.32     0.36                             rebound_collision (d2q9-bgk.c:435 @ 401604)
  1.18     14.68     0.36                             rebound_collision (d2q9-bgk.c:437 @ 401762)
  1.16     15.03     0.36                             rebound_collision (d2q9-bgk.c:434 @ 4016aa)
  1.13     15.38     0.35                             rebound_collision (d2q9-bgk.c:443 @ 401806)
  1.06     15.70     0.33                             rebound_collision (d2q9-bgk.c:444 @ 401816)
  1.05     16.02     0.32                             rebound_collision (d2q9-bgk.c:333 @ 4013c4)
  1.01     16.33     0.31                             rebound_collision (d2q9-bgk.c:442 @ 40172d)
  1.00     16.64     0.31                             rebound_collision (d2q9-bgk.c:452 @ 40181a)
  0.98     16.94     0.30                             rebound_collision (d2q9-bgk.c:435 @ 401752)
  0.92     17.22     0.28                             rebound_collision (d2q9-bgk.c:434 @ 401619)
  0.92     17.50     0.28                             rebound_collision (d2q9-bgk.c:434 @ 401646)
  0.92     17.78     0.28                             rebound_collision (d2q9-bgk.c:416 @ 4016c8)
  0.92     18.06     0.28                             rebound_collision (d2q9-bgk.c:459 @ 401842)
  0.90     18.34     0.28                             rebound_collision (d2q9-bgk.c:436 @ 4016f5)
  0.88     18.61     0.27                             rebound_collision (d2q9-bgk.c:416 @ 4016e0)
  0.85     18.87     0.26                             rebound_collision (d2q9-bgk.c:367 @ 401452)
  0.83     19.12     0.26                             rebound_collision (d2q9-bgk.c:400 @ 40159d)
  0.82     19.37     0.25                             rebound_collision (d2q9-bgk.c:337 @ 401407)
  0.82     19.62     0.25                             rebound_collision (d2q9-bgk.c:402 @ 40157a)
  0.82     19.87     0.25                             rebound_collision (d2q9-bgk.c:436 @ 4015fa)
  0.82     20.12     0.25                             rebound_collision (d2q9-bgk.c:420 @ 40173f)
  0.75     20.35     0.23                             rebound_collision (d2q9-bgk.c:336 @ 4013e8)
  0.75     20.58     0.23                             rebound_collision (d2q9-bgk.c:363 @ 4014ac)
  0.75     20.81     0.23                             rebound_collision (d2q9-bgk.c:419 @ 401710)
  0.74     21.04     0.23                             rebound_collision (d2q9-bgk.c:437 @ 401683)
  0.69     21.25     0.21                             rebound_collision (d2q9-bgk.c:335 @ 4013d6)
  0.69     21.46     0.21                             rebound_collision (d2q9-bgk.c:436 @ 40179b)
  0.69     21.67     0.21                             rebound_collision (d2q9-bgk.c:321 @ 401390)
  0.67     21.88     0.21                             rebound_collision (d2q9-bgk.c:421 @ 401756)
  0.67     22.08     0.21                             rebound_collision (d2q9-bgk.c:436 @ 4017f3)
  0.65     22.28     0.20                             rebound_collision (d2q9-bgk.c:375 @ 401487)
  0.65     22.48     0.20                             rebound_collision (d2q9-bgk.c:366 @ 4014c1)
  0.65     22.68     0.20                             rebound_collision (d2q9-bgk.c:451 @ 40177a)
  0.62     22.87     0.19                             rebound_collision (d2q9-bgk.c:425 @ 4017ca)
  0.61     23.06     0.19                             rebound_collision (d2q9-bgk.c:393 @ 40150f)
  0.59     23.24     0.18                             rebound_collision (d2q9-bgk.c:402 @ 40151f)
  0.59     23.42     0.18                             rebound_collision (d2q9-bgk.c:436 @ 40162e)
  0.59     23.60     0.18                             rebound_collision (d2q9-bgk.c:453 @ 4017b5)
  0.59     23.78     0.18                             rebound_collision (d2q9-bgk.c:434 @ 4017ba)
  0.59     23.96     0.18                             rebound_collision (d2q9-bgk.c:437 @ 401801)
  0.56     24.13     0.17                             rebound_collision (d2q9-bgk.c:434 @ 4015b6)
  0.56     24.30     0.17                             rebound_collision (d2q9-bgk.c:411 @ 401687)
  0.54     24.46     0.17                             rebound_collision (d2q9-bgk.c:400 @ 401554)
