Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
 14.33      4.43     4.43                             rebound_collision (d2q9-bgk.c:457 @ 401828)
  5.77      6.21     1.78                             rebound_collision (d2q9-bgk.c:436 @ 4015a2)
  4.46      7.58     1.38                             rebound_collision (d2q9-bgk.c:449 @ 401823)
  4.08      8.85     1.26                             rebound_collision (d2q9-bgk.c:441 @ 40181e)
  2.50      9.62     0.77                             rebound_collision (d2q9-bgk.c:403 @ 401537)
  2.33     10.34     0.72                             rebound_collision (d2q9-bgk.c:326 @ 4013b6)
  1.91     10.93     0.59                             rebound_collision (d2q9-bgk.c:435 @ 4015ac)
  1.91     11.52     0.59                             rebound_collision (d2q9-bgk.c:437 @ 4017b0)
  1.59     12.01     0.49                             rebound_collision (d2q9-bgk.c:437 @ 4015bc)
  1.26     12.40     0.39                             rebound_collision (d2q9-bgk.c:400 @ 40158c)
  1.20     12.77     0.37                             rebound_collision (d2q9-bgk.c:443 @ 401806)
  1.17     13.13     0.36                             rebound_collision (d2q9-bgk.c:436 @ 40179b)
  1.15     13.49     0.36                             rebound_collision (d2q9-bgk.c:435 @ 4016ff)
  1.10     13.83     0.34                             rebound_collision (d2q9-bgk.c:435 @ 401604)
  1.10     14.17     0.34                             rebound_collision (d2q9-bgk.c:437 @ 401714)
  1.09     14.50     0.34                             rebound_collision (d2q9-bgk.c:436 @ 4016f5)
  1.09     14.84     0.34                             rebound_collision (d2q9-bgk.c:444 @ 401816)
  1.04     15.16     0.32                             rebound_collision (d2q9-bgk.c:400 @ 40159d)
  1.04     15.48     0.32                             rebound_collision (d2q9-bgk.c:437 @ 401620)
  1.00     15.79     0.31                             rebound_collision (d2q9-bgk.c:445 @ 401767)
  0.97     16.09     0.30                             rebound_collision (d2q9-bgk.c:336 @ 4013e8)
  0.97     16.39     0.30                             rebound_collision (d2q9-bgk.c:416 @ 4016c8)
  0.97     16.69     0.30                             rebound_collision (d2q9-bgk.c:420 @ 40173f)
  0.97     16.99     0.30                             rebound_collision (d2q9-bgk.c:452 @ 40181a)
  0.94     17.28     0.29                             rebound_collision (d2q9-bgk.c:459 @ 401842)
  0.92     17.57     0.29                             rebound_collision (d2q9-bgk.c:434 @ 4016aa)
  0.89     17.84     0.28                             rebound_collision (d2q9-bgk.c:435 @ 401752)
  0.88     18.11     0.27                             rebound_collision (d2q9-bgk.c:375 @ 401487)
  0.84     18.37     0.26                             rebound_collision (d2q9-bgk.c:363 @ 4014ac)
  0.84     18.63     0.26                             rebound_collision (d2q9-bgk.c:366 @ 4014c1)
