Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  8.50      2.81     2.81                             rebound_collision (d2q9-bgkOld.c:343 @ 401459)
  6.36      4.91     2.10                             rebound_collision (d2q9-bgkOld.c:372 @ 4014c0)
  5.20      6.63     1.72                             rebound_collision (d2q9-bgkOld.c:402 @ 40152f)
  4.76      8.20     1.57                             av_velocity (d2q9-bgkOld.c:452 @ 4018f6)
  2.80      9.13     0.93                             av_velocity (d2q9-bgkOld.c:422 @ 40190b)
  2.55      9.97     0.84                             rebound_collision (d2q9-bgkOld.c:331 @ 40144c)
  2.24     10.71     0.74                             propagate (d2q9-bgkOld.c:248 @ 4010e9)
  1.94     11.35     0.64                             rebound_collision (d2q9-bgkOld.c:401 @ 40153d)
  1.88     11.97     0.62                             propagate (d2q9-bgkOld.c:246 @ 4010e6)
  1.88     12.59     0.62                             propagate (d2q9-bgkOld.c:255 @ 401122)
  1.68     13.15     0.56                             rebound_collision (d2q9-bgkOld.c:369 @ 4014db)
  1.61     13.68     0.53                             rebound_collision (d2q9-bgkOld.c:401 @ 4016c0)
  1.55     14.19     0.51                             av_velocity (d2q9-bgkOld.c:432 @ 401862)
  1.41     14.65     0.47                             rebound_collision (d2q9-bgkOld.c:400 @ 401706)
  1.30     15.08     0.43                             propagate (d2q9-bgkOld.c:253 @ 4010ff)
  1.23     15.49     0.41                             rebound_collision (d2q9-bgkOld.c:362 @ 40149f)
  1.20     15.88     0.40                             propagate (d2q9-bgkOld.c:257 @ 401134)
  1.20     16.28     0.40                             rebound_collision (d2q9-bgkOld.c:401 @ 401693)
  1.18     16.67     0.39                             rebound_collision (d2q9-bgkOld.c:369 @ 401500)
  1.15     17.05     0.38                             rebound_collision (d2q9-bgkOld.c:400 @ 4015d3)
  1.12     17.42     0.37                             rebound_collision (d2q9-bgkOld.c:352 @ 401466)
  1.11     17.79     0.37                             rebound_collision (d2q9-bgkOld.c:401 @ 40156e)
  1.06     18.14     0.35                             rebound_collision (d2q9-bgkOld.c:352 @ 401483)
  1.05     18.48     0.35                             av_velocity (d2q9-bgkOld.c:452 @ 40190f)
  1.05     18.83     0.35                             av_velocity (d2q9-bgkOld.c:454 @ 401913)
  1.03     19.17     0.34                             rebound_collision (d2q9-bgkOld.c:402 @ 401565)
  0.94     19.48     0.31                             rebound_collision (d2q9-bgkOld.c:402 @ 4016b7)
  0.91     19.78     0.30                             rebound_collision (d2q9-bgkOld.c:331 @ 4013b3)
  0.88     20.07     0.29                             av_velocity (d2q9-bgkOld.c:438 @ 4018a8)
  0.88     20.36     0.29                             rebound_collision (d2q9-bgkOld.c:402 @ 4016f4)
  0.85     20.64     0.28                             rebound_collision (d2q9-bgkOld.c:380 @ 4015fd)
  0.83     20.92     0.28                             rebound_collision (d2q9-bgkOld.c:307 @ 40139c)
  0.82     21.19     0.27                             rebound_collision (d2q9-bgkOld.c:348 @ 401426)
  0.79     21.45     0.26                             rebound_collision (d2q9-bgkOld.c:402 @ 401598)
  0.77     21.70     0.26                             rebound_collision (d2q9-bgkOld.c:402 @ 401572)
  0.76     21.95     0.25                             propagate (d2q9-bgkOld.c:259 @ 401176)
  0.73     22.19     0.24                             propagate (d2q9-bgkOld.c:258 @ 401167)
  0.71     22.43     0.24                             rebound_collision (d2q9-bgkOld.c:401 @ 40160f)
  0.70     22.66     0.23                             rebound_collision (d2q9-bgkOld.c:380 @ 4015e9)
  0.68     22.88     0.23                             propagate (d2q9-bgkOld.c:255 @ 401140)
  0.68     23.11     0.23                             rebound_collision (d2q9-bgkOld.c:401 @ 401701)
  0.67     23.33     0.22                             rebound_collision (d2q9-bgkOld.c:402 @ 40164f)
  0.67     23.55     0.22                             rebound_collision (d2q9-bgkOld.c:388 @ 401670)
  0.67     23.77     0.22                             rebound_collision (d2q9-bgkOld.c:393 @ 4016f0)
  0.65     23.98     0.22                             rebound_collision (d2q9-bgkOld.c:369 @ 40152b)
  0.64     24.19     0.21                             av_velocity (d2q9-bgkOld.c:425 @ 401859)
  0.64     24.41     0.21                             rebound_collision (d2q9-bgkOld.c:331 @ 4013cb)
  0.64     24.62     0.21                             rebound_collision (d2q9-bgkOld.c:345 @ 401436)
  0.64     24.83     0.21                             rebound_collision (d2q9-bgkOld.c:400 @ 401541)
  0.64     25.04     0.21                             rebound_collision (d2q9-bgkOld.c:400 @ 401577)
  0.64     25.25     0.21                             rebound_collision (d2q9-bgkOld.c:387 @ 401663)
  0.62     25.45     0.21                             rebound_collision (d2q9-bgkOld.c:400 @ 40165e)
